questions,model_answer,student_answer,teacher_marks,total_marks
What is a series circuit?,A circuit where components are connected in a single path.,One path,3,5
What is a parallel circuit?,A circuit where components are connected in multiple paths.,Many path,3,5
Which circuit keeps working if one bulb goes out?,Parallel circuit.,  ,0,5
What is a short circuit?,An unintended path of low resistance that can cause damage.,Bad electric,2,5
What are circuit symbols?,Symbols used to represent circuit components in diagrams.,Picture for parts,3,5
What is a resistor?,A device that limits the flow of electric current.,Slow electric,3,5
What is current direction in a circuit?,From positive terminal to negative terminal.,Plus to minus,4,5
What is a load in a circuit?,A device like a bulb or fan that uses electric energy.,Thing use electric,3,5
How can electricity be dangerous?,"It can cause shocks, burns, or fire.",Hurt people,3,5
What safety rule should be followed with electricity?,Never touch electric appliances with wet hands.,No wet hands,4,5
What does a magnet attract?,Iron and steel.,Metal things,3,5
How do you know if a material is magnetic?,It is pulled by a magnet.,  ,0,5
What is the use of magnets in daily life?,"Used in fridges, toys, and speakers.",Fridge doors,2,5
What happens when electricity flows through a wire?,It creates a magnetic field.,Gets hot,1,5
What device shows the presence of electric current?,A tester or an ammeter.,Ammeter,4,5
Why should we not overload an electric socket?,It can cause short circuit or fire.,Too many plugs bad,3,5
How can we stop electric current in a circuit?,By opening the switch or breaking the circuit.,Turn switch off,5,5
What is Earth?,"Earth is the planet we live on, made up of land, water, and air.",Our planet,4,5
What is the shape of Earth?,Earth is roughly spherical in shape.,Round ball,3,5
What are the main layers of the Earth?,"Crust, mantle, and core.",Outside middle inside,2,5
What is the outermost layer of Earth called?,The crust.,  ,0,5
What is below the Earth's crust?,The mantle.,Hot rock,3,5
What is the innermost layer of Earth?,The core.,Center,4,5
What is the crust made of?,Solid rocks and minerals.,Rocks,4,5
What is the mantle made of?,Semi-solid rock that moves slowly.,Melted rock,3,5
What is the core made of?,Mostly iron and nickel.,Metal center,4,5
What are the two parts of the Earth's core?,Outer core and inner core.,Outside and inside core,5,5
Is the inner core solid or liquid?,Solid.,Hard,3,5
Is the outer core solid or liquid?,Liquid.,Melted,4,5
What is the importance of the crust?,"It holds soil, water, plants, animals, and human life.",We live on it,2,5
What is the thickness of the Earth's crust?,About 5 to 70 kilometers.,Thick outside,1,5
Which layer is the hottest?,The inner core.,Middle,2,5
Why is the mantle important?,It helps in the movement of tectonic plates.,Makes earthquakes,2,5
What is the Earth's surface mostly covered with?,Water and land.,Water,4,5
What percentage of Earth is covered by water?,About 71%.,Most,2,5
What is the importance of water for life?,All living things need water to survive.,Drink,3,5
Name three uses of water.,"Drinking, cleaning, and irrigation.",Wash drink grow,5,5
What are natural sources of water?,"Rivers, lakes, oceans, rain, and glaciers.",Rain river,4,5
What is groundwater?,Water stored under the Earth's surface.,Underground water,5,5
What is rainwater?,Water that falls from clouds in the form of rain.,From sky,3,5
How do we get water in homes?,Through pipes from water supply systems.,Taps,2,5
What is the importance of saving water?,To ensure future supply and protect the environment.,Not waste,3,5
What is soil?,The top layer of the Earth where plants grow.,Dirt,2,5
How is soil formed?,By the breaking down of rocks over time.,Rocks break,3,5
What are the components of soil?,"Minerals, organic matter, air, and water.",Dirt stuff,1,5
Name the main types of soil.,"Sandy, clayey, loamy, and silt.",Sand clay,3,5
What is sandy soil?,Soil with large particles that drains water quickly.,Has sand,2,5
What is clayey soil?,Soil with very small particles that holds water well.,Sticky mud,3,5
What is loamy soil?,"A mixture of sand, silt, and clay ' best for farming.",Good dirt,2,5
What is silt soil?,Fine soil particles that hold moisture well.,Soft soil,3,5
Which soil is best for growing plants?,Loamy soil.,Brown dirt,1,5
What does soil contain?,"Minerals, water, air, and organic matter.",  ,0,5
What is humus?,Decayed plant and animal matter in soil.,Dead stuff,2,5
Why is humus important?,It makes soil fertile.,Helps plants,3,5
What is soil erosion?,The removal of topsoil by wind or water.,Dirt blows,2,5
How can we prevent soil erosion?,By planting trees and using barriers.,Plant trees,4,5
What is topsoil?,The uppermost fertile layer of soil.,Good dirt,2,5
Why is soil important?,It supports plant growth and stores water.,For plants,3,5
What are the characteristics of sandy soil?,"Loose, dry, and drains quickly.",Gritty,1,5
What are the characteristics of clayey soil?,"Sticky, dense, and holds water.",Thick mud,3,5
What are the characteristics of loamy soil?,"Soft, rich, and fertile.",Good for plants,3,5
What is the difference between clay and sand soil?,"Clay holds water, sand drains quickly.","Clay sticky, sand loose",4,5
What is the role of soil in farming?,It provides nutrients and support to plants.,Helps plants grow,4,5
How does water reach underground?,Through cracks and pores in soil.,Goes down,2,5
What is water table?,The level below which the ground is saturated with water.,Where water sits,3,5
What are aquifers?,Underground layers of water-bearing rocks.,Water rocks,2,5
What is potable water?,Water that is safe for drinking.,Clean water,4,5
How do we make water safe for drinking?,"By boiling, filtering, or treating it.",Boil it,3,5
What is water pollution?,Contamination of water by harmful substances.,Dirty water,3,5
Name sources of water pollution.,"Factories, sewage, and chemicals.",Factories,2,5
How can we save water?,By turning off taps and fixing leaks.,Don't waste,4,5
What is the water cycle?,"The process of evaporation, condensation, and precipitation.",Water goes round,2,5
What is evaporation?,The process of water turning into vapor.,Water disappears,2,5
What is condensation?,The process of vapor turning into liquid.,Drops form,3,5
What is precipitation?,"Rain, snow, or hail falling from clouds.",Rain falls,4,5
Why is water called a universal solvent?,Because it can dissolve many substances.,Mixes things,3,5
How do plants get water?,Through their roots from the soil.,Roots drink,4,5
What is groundwater recharge?,When rainwater seeps into the ground and fills aquifers.,Rain fills ground,3,5
What is mineral content of soil?,"Nutrients like nitrogen, phosphorus, and potassium.",Plant food,2,5
Why should we protect the Earth's crust?,To maintain natural resources and habitats.,Keep land safe,3,5
How do human activities affect soil?,Deforestation and pollution reduce soil quality.,People hurt dirt,2,5
What is composting?,Making natural fertilizer from organic waste.,Rotting food helps plants,4,5
What is the importance of soil for animals?,Many animals live in soil or depend on it for food.,Animals need dirt,3,5
What is land?,The solid part of Earth's surface.,Ground,4,5
What is the difference between soil and land?,Soil is the top layer of land used for plant growth.,Dirt vs ground,2,5
What are rocks?,Solid material forming Earth's surface.,Hard ground,3,5
How does Earth's structure help life?,"It provides land, water, minerals, and a stable environment.",We live here,2,5
What is space?,Space is the vast area beyond Earth's atmosphere.,Sky above,3,5
What is space exploration?,The study and discovery of space using technology like telescopes and spacecraft.,Looking at stars,3,5
Who was the first person in space?,Yuri Gagarin from Russia.,Russian man,4,5
What is NASA?,NASA is the American space agency responsible for space missions and research.,Space people,2,5
What does NASA stand for?,National Aeronautics and Space Administration.,   ,0,5
What is a satellite?,A satellite is an object that revolves around a planet.,Thing going round,3,5
What are the two types of satellites?,Natural satellites and artificial satellites.,Moon and man-made,5,5
What is a natural satellite?,"A natural object that orbits a planet, like the Moon.",Like moon,4,5
What is the Moon?,The Moon is Earth's natural satellite.,Our moon,5,5
What is an artificial satellite?,A man-made object placed in orbit around Earth or other planets.,Human-made space thing,4,5
Give an example of an artificial satellite.,Hubble Space Telescope.,Hubble,5,5
What is the use of communication satellites?,"They help in phone calls, internet, and TV signals.",For phones,3,5
What is the use of weather satellites?,They help predict weather and observe storms.,Watch weather,4,5
What is the use of GPS satellites?,They help in navigation and location tracking.,Find places,4,5
How do satellites stay in orbit?,Due to Earth's gravity pulling them while they move forward.,Gravity holds,3,5
What is orbit?,The curved path a satellite follows around a planet.,Going round,4,5
What is a space shuttle?,A spacecraft used for traveling to and from space.,Space plane,4,5
What is a space station?,A laboratory in space where astronauts live and work.,Space house,3,5
What is the International Space Station (ISS)?,A space station where astronauts from many countries live and conduct experiments.,Big space lab,4,5
Who was the first person to walk on the Moon?,Neil Armstrong.,Armstrong,5,5
What is a planet's moon?,A natural satellite that orbits the planet.,Planet's satellite,5,5
Does every planet have moons?,"No, not all planets have moons.",Some don't,4,5
Which planet has the most moons?,Jupiter.,Big planet,3,5
How many moons does Earth have?,One.,1,5,5
How many moons does Mars have?,Two: Phobos and Deimos.,Two,3,5
What is space technology?,The tools and machines used to explore space.,Space tools,3,5
What is a rocket?,A vehicle used to send satellites and astronauts into space.,Goes to space,3,5
What is a space probe?,A spacecraft sent to collect information without humans.,Robot spaceship,4,5
Name one famous space telescope.,Hubble Space Telescope.,Hubble,5,5
What does a telescope do?,It magnifies distant objects in space.,Makes stars bigger,4,5
What is the Sun?,A star at the center of our solar system.,Big fire ball,3,5
Why do we send satellites into space?,"For communication, weather study, and research.",For phones and weather,4,5
How does a satellite help in disaster management?,"It provides images to track floods, storms, and fires.",Shows disasters,3,5
What is Earth observation?,Watching and collecting data about Earth using satellites.,Looking at Earth,4,5
What are navigation satellites used for?,For GPS and tracking movement on Earth.,Maps,2,5
What do scientific satellites do?,They collect information for space and Earth science.,Study space,3,5
What is the benefit of space exploration?,"It helps understand space, improves technology, and helps on Earth.",Learn new things,2,5
What is a manned space mission?,A space mission with astronauts onboard.,With people,4,5
What is an unmanned space mission?,"A mission without astronauts, usually using probes or robots.",No people,4,5
Name one unmanned Mars mission.,"Mars Rover (e.g., Curiosity).",  ,0,5
What is zero gravity?,A condition in space where objects appear to be weightless.,No gravity,4,5
Why do astronauts float in space?,Because of zero gravity.,No weight,4,5
How do astronauts eat in space?,They eat packed food designed for zero gravity.,Special food,3,5
Can we breathe in space?,"No, space has no air; astronauts need oxygen tanks.",Need air tanks,5,5
What do astronauts wear in space?,Space suits.,Special clothes,4,5
Why are space suits important?,"They provide oxygen, temperature control, and protection.",Keep safe,3,5
What is a launchpad?,A place where rockets are launched into space.,Rocket start,3,5
How long does it take to reach the Moon?,About 3 days by spacecraft.,Few days,3,5
What is the atmosphere?,The layer of gases surrounding Earth.,Air around Earth,5,5
Is there air in space?,"No, space is a vacuum.",No,3,5
What is a geostationary satellite?,A satellite that stays over one spot on Earth.,Stays still,3,5
What is a polar satellite?,A satellite that orbits over Earth's poles.,Goes over top,2,5
What does a space rover do?,It explores the surface of other planets.,Drives on planets,5,5
What is a meteor?,A small rock that burns when it enters Earth's atmosphere.,Shooting star,4,5
What is a comet?,A ball of ice and dust that orbits the Sun.,Space snowball,4,5
What is an asteroid?,"A rocky object orbiting the Sun, mostly between Mars and Jupiter.",Space rock,4,5
What is a galaxy?,"A large system of stars, planets, and gas held by gravity.",Star group,3,5
What is the name of our galaxy?,Milky Way.,Our galaxy,5,5
What is the universe?,"Everything that exists: stars, planets, galaxies, and space.",All space,4,5
How big is the universe?,It is limitless and constantly expanding.,  ,0,5
What is a space mission?,A journey to explore or work in space.,Space trip,4,5
Why are satellites important for Earth?,"They help with communication, navigation, and Earth study.",Help us,2,5
What is a weather satellite?,A satellite used to monitor and forecast weather.,Checks weather,5,5
Can we see satellites from Earth?,"Yes, some satellites are visible to the naked eye.",Sometimes,4,5
What is satellite imaging?,Taking pictures of Earth from space.,Space photos,5,5
What is remote sensing?,Using satellites to collect data from a distance.,Far measuring,2,5
How does a satellite communicate with Earth?,Using radio signals and antennas.,Radio waves,4,5
Name one space agency other than NASA.,ESA ' European Space Agency.,  ,0,5
How are satellites launched into space?,Using rockets.,Big rockets,5,5
What is the future of space exploration?,Human missions to Mars and deeper space study.,Go to Mars,4,5
What is an organ system?,A group of organs that work together to perform a specific function.,Organs working together to do a job.,4,5
Name two examples of organ systems.,Respiratory system and circulatory system.,Breathing and blood systems.,3,5
How do organs form an organ system?,Organs are linked and work together to perform life processes.,Organs are connected and do work together.,4,5
What is the main function of the respiratory system?,To take in oxygen and remove carbon dioxide.,Breathing oxygen in and carbon dioxide out.,5,5
What does the circulatory system do?,"It transports oxygen, nutrients, and wastes through the body.",Moves oxygen and food in body.,4,5
What is the nose's role in breathing?,"The nose filters, warms, and moistens the air.",Nose cleans the air we breathe.,4,5
What is the trachea?,The trachea is a windpipe that carries air to the lungs.,It's a pipe for air to go to lungs.,4,5
What are bronchi?,Bronchi are tubes that branch from the trachea into the lungs.,Small tubes in lungs from the big pipe.,4,5
What happens during inhalation?,The lungs fill with air as the diaphragm contracts.,Breathing in fills lungs.,4,5
What happens during exhalation?,The diaphragm relaxes and air is pushed out of the lungs.,Breathing out releases air.,4,5
What are lungs?,Organs that absorb oxygen and release carbon dioxide.,Lungs take in oxygen and let go of CO2.,5,5
Name three parts of the respiratory system.,"Nose, trachea, and lungs.","Nose, windpipe, lungs.",5,5
What is plasma?,Plasma is the liquid part of blood that carries nutrients and hormones.,Liquid in blood that moves food and messages.,4,5
What do red blood cells do?,They carry oxygen from the lungs to the body.,They take oxygen around the body.,5,5
What do white blood cells do?,They help fight infections.,They fight germs.,5,5
What are platelets?,Platelets help in blood clotting to stop bleeding.,They help stop bleeding.,5,5
Name the organ that pumps blood.,The heart.,Heart.,5,5
What are blood vessels?,Tubes that carry blood through the body.,Pipes that move blood.,4,5
Name three types of blood vessels.,"Arteries, veins, and capillaries.","Arteries, veins, small tubes.",4,5
How do arteries differ from veins?,Arteries carry blood away from the heart; veins carry it back.,"Arteries go out, veins go in.",4,5
What is a capillary?,Tiny blood vessels where exchange of substances occurs.,Very small blood pipes.,4,5
How do the circulatory and respiratory systems work together?,They deliver oxygen to and remove carbon dioxide from the body.,Breathing puts oxygen in blood.,4,5
What organ receives oxygen first from lungs?,The heart receives oxygenated blood from the lungs.,Heart gets oxygen blood first.,4,5
What happens when you exercise?,Heart rate and breathing rate increase to deliver more oxygen.,You breathe faster and heart beats faster.,5,5
What part of the brain helps control breathing?,The brainstem controls breathing automatically.,Brainstem controls breathing.,5,5
What sends messages to muscles to move?,The brain and nerves send signals to muscles.,Brain tells muscles to move.,5,5
What is the nervous system?,The system that controls body activities and responses.,Controls everything and sends signals.,4,5
What is a stimulus?,A change in the environment that causes a response.,Something that makes the body respond.,4,5
What is a reflex?,An automatic response to a stimulus.,Fast action your body does without thinking.,5,5
What organ helps you respond to danger?,The brain processes danger and sends signals.,Brain helps you act in danger.,5,5
What does the spinal cord do?,It carries messages between the brain and body.,Sends messages up and down.,4,5
What is the role of nerves?,They carry signals to and from the brain.,Wires that send messages.,4,5
What is integration in body systems?,Different systems working together to perform a task.,Body parts working together.,4,5
Give an example of body systems working together.,Muscles and nerves work together to move a hand.,Nerves and muscles help movement.,5,5
What does the heart do during exercise?,It beats faster to pump more oxygen.,Heart works more.,4,5
What happens to breathing during sleep?,It slows down because the body needs less oxygen.,Breathing gets slower.,5,5
How does the body know it's hot?,Nerves send heat signals to the brain.,Skin tells brain it's hot.,4,5
How does sweating help you cool down?,Sweat evaporates and takes away heat.,Sweating cools the body.,4,5
How does the body react to cold?,Muscles shiver to create warmth.,You shiver.,4,5
What is the diaphragm?,A muscle that helps in breathing.,Muscle that helps lungs.,4,5
What part of blood fights infection?,White blood cells.,White cells.,5,5
How does the body respond to pain?,Signals are sent to the brain for reaction.,Brain gets the pain signal.,4,5
Why is blood red?,Because of red blood cells with hemoglobin.,Red cells have color.,4,5
Why do we need oxygen?,Oxygen is needed to release energy from food.,It helps make energy.,5,5
What is circulation?,The movement of blood throughout the body.,Blood moving around.,4,5
What organ filters the blood?,The kidneys filter waste from the blood.,Kidneys clean blood.,5,5
How does the body know to run from danger?,The brain processes fear and signals muscles.,Brain says run.,4,5
Why do we cough?,To clear irritants or blockages from the airway.,To remove things from throat.,4,5
What is food safety?,Practices to prevent foodborne illness,Keeping food clean,2,5
Name two foodborne illnesses.,Salmonella and E. coli infections,Food poisoning,1,5
How can dirty hands affect food?,Can transfer harmful bacteria,Makes food dirty,2,5
What temperature kills most bacteria?,Above 70'C (158'F),Hot water temp,1,5
Why shouldn't you eat raw chicken?,May contain salmonella bacteria,It's not cooked,2,5
What is food spoilage?,When food becomes unsafe/unpleasant to eat,Rotten food,2,5
Give two signs of spoiled milk.,"Sour smell, lumpy texture",Smells bad,1,5
Why does bread get moldy?,Fungus grows in moist conditions,Left too long,1,5
What causes browning of fruits?,Oxidation reaction with air,Gets old,1,5
How does light spoil food?,"Breaks down nutrients, changes taste",Makes it bad,1,5
Name two insects that spoil food.,Weevils and cockroaches,Bugs,1,5
Why do canned foods last long?,Sterilized and sealed from air,No air inside,2,5
What is quantitative food waste?,Wasting edible food (whole items),Throwing food,2,5
What is qualitative food waste?,Loss of nutritional value,Bad quality,1,5
Give an example of food waste at home.,Throwing away stale bread,Old bread,2,5
How does freezing preserve food?,Slows bacterial growth,Makes it cold,2,5
What foods can be frozen?,"Meat, vegetables, bread",Meat,1,5
Why is smoking used for meat?,Dries and adds preservative chemicals,For flavor,1,5
What do insecticides prevent?,Insect damage to stored grains,Bugs,2,5
What gas preserves packaged chips?,Nitrogen gas,Air,0,5
Name two chemical preservatives.,"Sodium benzoate, potassium sorbate",Salt,1,5
How does sugar preserve food?,Binds water so bacteria can't grow,Sweet taste,1,5
What is pasteurization?,Heating liquids to kill bacteria,Milk heating,2,5
Why is pasteurized milk safer?,Harmful bacteria are killed,No germs,2,5
What is food adulteration?,Adding inferior/substances to food,Fake food,2,5
Why is chalk added to flour?,To increase weight cheaply,Makes white,0,5
How can you test for water in milk?,Milk meter or blotting paper,See if runny,1,5
Why is adulterated food dangerous?,May contain toxic substances,Can get sick,2,5
What is the danger of artificial colors?,May cause allergies/cancer,Bad colors,1,5
How does canning preserve food?,Kills microbes and seals out air,In cans,1,5
Why is oil used in pickles?,Prevents air contact,For taste,1,5
What does vinegar do in preservation?,Creates acidic environment,Sour taste,1,5
Why refrigerate leftovers?,Slows bacterial growth,Keeps cold,2,5
How long can cooked rice stay at room temp?,Max 2 hours,One day,0,5
What causes eggs to spoil?,Bacteria entering through pores,Gets old,1,5
Why do potatoes sprout?,Natural growth process,They grow,1,5
What causes freezer burn?,Moisture loss in frozen food,Ice on food,2,5
Why seal dry foods tightly?,Prevents moisture and pests,No bugs,2,5
How does dehydration preserve?,Removes water bacteria need,Dries food,2,5
What foods are often dehydrated?,"Fruits, meats, herbs",Fruits,1,5
Why rotate food in pantry?,Use older items first,First in first out,5,5
What is blanching before freezing?,Brief boiling then cooling,Hot water dip,2,5
Why avoid dented cans?,May have bacterial contamination,Looks bad,1,5
How does salt preserve meat?,Draws out moisture,Makes salty,1,5
What is botulism?,Deadly food poisoning from canned foods,Can sickness,1,5
Why avoid bulging cans?,Sign of gas-producing bacteria,Might explode,2,5
What is cross-contamination?,Transfer of germs between foods,Mixing germs,2,5
How to prevent cross-contamination?,Separate raw/cooked foods,Clean knives,2,5
Why wash fruits before eating?,Removes pesticides/dirt,Clean,2,5
"What does ""use-by"" date mean?",Last safe consumption date,Expiry,2,5
What is mass?,Mass is the amount of matter contained in an object.,Mass means how much stuff is inside something.,3,5
What is weight?,Weight is the force with which gravity pulls an object downward.,Weight is how heavy something feels when you hold it.,3,5
Why does weight change on different planets?,Weight changes because different planets have different strengths of gravity pulling on objects.,Planets pull with different strength so things weigh different amounts.,3,5
What is standardized measurement?,Standardized measurement means using the same fixed units that everyone agrees to use worldwide.,It's when all countries use the same kind of rulers and scales.,3,5
Name three fundamental quantities,"The three fundamental quantities are length, mass, and time which all other measurements come from.","Length, weight, and how long things take are basic measurements.",3,5
What is the SI unit for length?,The standard international unit for measuring length is the meter.,We measure how long things are in meters.,3,5
What is the SI unit for mass?,The standard international unit for measuring mass is the kilogram.,We measure how heavy things are in kilograms.,3,5
What is the SI unit for time?,The standard international unit for measuring time is the second.,We count time going by in seconds.,3,5
Why are accurate measurements important?,Accurate measurements are important so that things fit together properly and experiments give correct results.,We need good measurements so things work right and are fair.,3,5
What causes errors in measurement?,"Errors happen when we use tools wrong, read numbers incorrectly, or the measuring device isn't working properly.",Mistakes happen when we don't measure carefully or tools are broken.,3,5
How should you measure length accurately?,"To measure length accurately, place the ruler straight along the object and read the numbers at eye level.",Put the ruler flat and look straight at the numbers to measure right.,3,5
What tool measures liquid volume?,We use a measuring cylinder with marked lines to measure how much liquid there is.,A special cup with numbers measures juice or water amounts.,3,5
What instrument measures weight?,A spring balance measures weight by showing how much a spring stretches when something hangs from it.,A hanging scale with numbers tells us how heavy things are.,3,5
What is area?,Area is the amount of space covered by a flat surface or shape.,Area means how much space something takes up when it's flat.,3,5
How do we calculate area?,We calculate area by multiplying the length of a shape by its width.,You times the sides together to find the area.,3,5
What is volume?,Volume is the amount of space that an object or substance takes up.,Volume means how much room something fills.,3,5
What is density?,Density tells us how much mass is packed into a certain volume of a material.,Density is how squished together the stuff inside something is.,3,5
What is a scalar quantity?,"A scalar quantity is a measurement that only has size or amount, without any direction.",Scalar means just the number without worrying about which way.,3,5
Give an example of scalar quantity,Temperature is a scalar quantity because it's just a number of degrees without direction.,"How hot something is doesn't have a direction, just a number.",3,5
What is a vector quantity?,A vector quantity is a measurement that has both size and a specific direction.,Vector means the number plus which way it's going.,3,5
Give an example of vector quantity,Force is a vector because we need to know both how strong and which way it pushes.,Pushing something needs how hard and which direction.,3,5
What instrument measures temperature?,A thermometer measures temperature by showing how much liquid inside expands when heated.,A temperature checker has colored liquid that goes up when hot.,3,5
What do we use to measure time?,"We measure time using clocks and stopwatches that count seconds, minutes and hours.",Clocks and timers tell us how much time passes.,3,5
Why do we use standard units?,Standard units let people everywhere understand measurements the same way and compare results.,Same units mean everyone measures stuff the same way.,3,5
What is speed?,Speed tells us how much distance an object covers in a certain amount of time.,Speed is how far something goes in how much time.,3,5
What units measure speed?,Speed is measured in meters per second or kilometers per hour showing distance over time.,Speed numbers tell meters each second or kilometers each hour.,3,5
What measures electric current?,An ammeter measures electric current by showing how many electrons flow through a wire.,A special meter counts electricity moving in wires.,3,5
What unit measures light brightness?,Light intensity is measured in candela which tells how strong a light source shines.,Brightness has special units called candelas.,2,5
How do we measure curved lines?,We measure curves by laying a string along the curve then measuring the straight string.,Use bendy string then measure it straight to check curves.,3,5
What is perimeter?,Perimeter is the total distance around the outside edge of a shape or area.,Perimeter means adding all the sides of a shape together.,3,5
How measure irregular objects?,"For irregular objects, we use water displacement by seeing how much water they push aside.",Put funny shapes in water to see how much space they take.,3,5
What is zero error?,"Zero error happens when a measuring tool doesn't start at zero, making all readings wrong.","When the scale starts wrong, everything measured is wrong.",3,5
Why calibrate tools?,We calibrate tools to make sure they give correct measurements by adjusting them properly.,Fix measuring tools so they show the right numbers.,3,5
What is parallax error?,Parallax error occurs when we read measurements from the wrong angle making them incorrect.,Wrong looking angle makes measurements seem wrong.,3,5
How avoid parallax error?,Avoid parallax error by always reading measurement scales directly at eye level.,Look straight at the numbers to see them right.,3,5
What measures small lengths precisely?,Vernier calipers measure small lengths very precisely with their sliding scale.,Special tiny rulers measure very small things exactly.,3,5
What measures blood pressure?,A sphygmomanometer measures blood pressure by squeezing the arm and listening.,The doctor's arm pump checks your blood pressure.,2,5
What is the unit for area?,Area is measured in square units like square meters showing length times width.,Area numbers have little 2's meaning times the sides.,3,5
What is the unit for volume?,Volume is measured in cubic units like cubic meters showing length ' width ' height.,Volume numbers have little 3's meaning times all sides.,3,5
What is a meniscus?,A meniscus is the curved surface of liquid in a container caused by water sticking to sides.,The bendy top of water in a tube is called meniscus.,3,5
How read a meniscus?,Always read the measurement at the bottom of the meniscus curve for accuracy.,Look at the lowest point of the water curve to measure.,3,5
What is estimation?,Estimation is making a careful guess about a measurement before actually measuring.,Estimation means making a smart guess about sizes.,3,5
Why estimate first?,Estimating first helps catch big mistakes by seeing if measurements make sense.,Guessing first helps find wrong answers quickly.,3,5
What is rounding?,Rounding means changing numbers to simpler nearby numbers that are easier to use.,Rounding makes numbers simpler by going up or down.,3,5
Why round measurements?,We round measurements to make calculations easier when perfect accuracy isn't needed.,Simple numbers help do math faster sometimes.,3,5
What is precision?,Precision means measurements are very close to each other when taken repeatedly.,Precision is when you get almost the same number each time.,3,5
What is accuracy?,Accuracy means measurements are very close to the true or correct value.,Accuracy is when you get the exactly right number.,3,5
Can measurements be precise but not accurate?,"Yes, measurements can be close together (precise) but all wrong by the same amount (inaccurate).",You can be wrong the same way every time.,3,5
What is human error?,Human error happens when people make mistakes in reading or using measuring tools.,People sometimes measure wrong by accident.,3,5
What is instrument error?,Instrument error occurs when measuring devices are broken or not working correctly.,Tools can measure wrong if they're broken.,3,5
Why record measurements?,"We record measurements to remember them, compare results, and spot problems.",Writing down numbers helps remember and check work.,3,5
What is motion?,Motion is the change in position of an object over time.,Movement of object.,1,5
Define distance.,Distance is the total path covered by an object.,How far something moves.,1,5
Define displacement.,Displacement is the shortest distance between initial and final positions.,Distance between start and end.,2,5
What is the SI unit of distance?,The SI unit of distance is meter (m).,Meter.,2,5
How is displacement different from distance?,Distance is total path; displacement is shortest straight line.,"Distance is more, displacement is less.",1,5
What is speed?,Speed is the rate of change of distance with time.,How fast object moves.,1,5
Write the formula for speed.,Speed = Distance ' Time.,Distance divided by time.,2,5
What is velocity?,Velocity is the rate of change of displacement.,Speed in a direction.,2,5
Define uniform motion.,Motion with equal distance in equal time intervals.,Constant speed.,1,5
Define non-uniform motion.,Unequal distances in equal time intervals.,Changing speed.,1,5
What is acceleration?,Acceleration is the rate of change of velocity.,Change in velocity.,1,5
State the formula for acceleration.,Acceleration = (Final Velocity - Initial Velocity) / Time.,(v - u) ' t.,2,5
What is the SI unit of acceleration?,m/s' (meters per second squared).,Meter per second square.,2,5
Define average velocity.,Average velocity = (Initial velocity + Final velocity) ' 2.,u + v divided by 2.,2,5
Define instantaneous velocity.,Velocity of an object at a particular moment.,Speed at one moment.,1,5
Give one example of uniform motion.,A car moving at constant speed on a straight road.,Car moves same speed.,1,5
What is Newton's First Law of Motion?,"An object at rest stays at rest, and an object in motion stays in motion unless acted upon by a force.",Object stays same unless pushed.,1,5
What does inertia mean?,Inertia is the tendency of an object to resist change in motion.,Object doesn't want to move or stop.,1,5
Give an example of Newton's First Law.,A coin on a card falls into glass when card is flicked.,Coin falls in glass.,1,5
Define force.,Force is a push or pull on an object.,Push or pull.,2,5
What is the SI unit of force?,Newton (N).,Newton.,2,5
Define work in physics.,Work is done when a force moves an object through a distance.,Force moves thing.,1,5
Write the formula for work.,Work = Force ' Displacement.,Force times distance.,2,5
What is the unit of work?,Joule (J).,Joule.,2,5
When is no work done?,When there is no displacement.,If nothing moves.,1,5
What happens to motion if net force is zero?,The object continues in its state of rest or motion.,No change in movement.,1,5
What is the relation between force and acceleration?,Force = mass ' acceleration.,F = ma.,2,5
Define deceleration.,Negative acceleration or slowing down.,Slows down.,1,5
What does a straight line on distance-time graph mean?,Constant speed.,No change in speed.,1,5
What does a curved line on distance-time graph show?,Changing speed.,Speed changing.,1,5
What is the effect of balanced force?,No change in motion.,Nothing changes.,1,5
What is the effect of unbalanced force?,Causes motion or change in motion.,It moves.,1,5
What is the direction of acceleration if velocity increases?,Same as direction of motion.,Same direction.,2,5
What is the direction of acceleration if velocity decreases?,Opposite to direction of motion.,Backwards.,1,5
Give example of acceleration.,A car speeding up.,Car moves faster.,1,5
Give example of deceleration.,Car slowing at red light.,Car stops slowly.,1,5
How is velocity different from speed?,Velocity has direction; speed does not.,Velocity = speed + direction.,2,5
What does a steep slope on a speed-time graph show?,High acceleration.,Speeding fast.,1,5
What is negative work?,When force and displacement are in opposite directions.,Opposite directions.,1,5
Name one activity that involves work.,Lifting a box.,Picking up bag.,1,5
Does holding a book in air involve work?,"No, because there is no displacement.",No movement.,1,5
What type of quantity is displacement?,Vector quantity.,Vector.,2,5
What type of quantity is distance?,Scalar quantity.,Scalar.,2,5
Is force a vector or scalar?,Vector quantity.,Vector.,2,5
What happens to work if displacement is zero?,No work is done.,Work is zero.,2,5
Define net force.,Sum of all forces acting on an object.,Total force.,2,5
Can work be negative?,"Yes, when force and displacement are opposite.",Yes.,1,5
What is the relation between motion and force?,Force causes motion or change in motion.,Force makes things move.,1,5
How is mass related to inertia?,Greater mass means more inertia.,"More mass, more inertia.",2,5
What is heat?,Heat is a form of energy that makes things warm.,heat make things hot.,2,5
Name three modes of heat transfer.,"Conduction, convection, and radiation.","condution, convaction and raditon.",1,5
What is conduction?,Conduction is the transfer of heat through solids.,heat moves in solid,2,5
